index_id,name,description,ingredients,instructions
28,泰式打拋醬炒空心菜,泰式打拋醬原先的微酸微辣口感，讓人食慾大開。蒜香、辣椒與空心菜快炒後，清脆的空心菜口味層次豐富，是一道非常下飯的泰式料理。,"['空心菜 1把', '蒜頭 1/2顆', '水 50毫升', '辣椒 1根', '泰式打拋醬 100公克']","['起一油鍋倒入蒜末、辣椒，與空心菜梗拌炒。', '將葉子倒入，並加入小磨坊泰式打拋醬。', '快速拌炒後熄火，盛盤即可。']"
29,薑薑薑富桂湯圓,薑黃及肉桂為天然的健康調味料，特殊風味融入湯圓中，繽紛顏色讓大人小孩看了都喜歡。健康湯圓在家簡單自己做。,"['糯米粉 200公克', '抹茶粉 30公克', '藍莓汁 30公克', '熱水 600毫升', '冰水 200毫升', '砂糖 7-10公克', '肉桂粉 3公克', '薑黃粉 3公克']","['材料準備： 1.藍莓壓碎濾渣擠成汁。 2.準備五個容器，將糯米粉均分為五等份。', '將其中四份糯米粉各別加入抹茶粉、藍莓汁、肉桂粉、薑黃粉。', '並各別倒入120cc的熱水混和做成麵糰，麵糰需揉到不沾手為止。', '再將麵糰搓成長條狀，並用刀子切成1cm大小，並搓成圓球狀。', '起一鍋八分滿的滾水，倒入湯圓。', '待湯圓皆浮上水面，即可撈起泡冰水。', '另起一鍋滾水，加入黑糖煮開後即為黑糖水。', '將冰水裡的湯圓撈起倒入黑糖水中即完成。']"
33,日式照燒雞腿排,照燒醬甜甜鹹鹹的口感，與白芝麻的香氣完美結合。日式照燒醬可增添甜味及色澤，使每一口雞肉都能品嚐到甜鹹好滋味。,"['去骨雞腿 1隻', '食用油 適量毫升', '白芝麻 適量公克', '蒜頭 1瓣', '照燒醬 100公克']","['材料準備(10-15分鐘)', '將蒜頭切小丁。', '去骨雞腿排拍鬆，取一碗將去骨雞腿排及蒜丁放入備用。', '烤箱預熱(110度5分鐘)，烤盤內鋪錫箔紙或使用不沾烤盤內抹油(油3滴使用刷子刷勻)', '將小磨坊日式照燒醬加入碗中，與去骨雞腿排、蒜丁一起醃漬10分鐘。', '將雞腿排(雞皮部分朝下)放入烤盤內。烤箱上下溫度220-250度，烤15分鐘後，將溫度調低至100度，再烘烤10分鐘，待雞腿表面呈現微焦色即可關閉烤箱電源。將雞腿排留在烤箱內用餘熱悶5分鐘。', '盛盤後灑上白芝麻後即可上菜。']"
38,草原風情蝦,香甜味美的草蝦加上口感佳的甜椒與甜豆仁，組合絶妙的鮮甜風味，洋蔥本身帶辛甜巧妙搭配多層次感香氣的新疆孜然，是一個很下飯的風味家常菜。,"['洋蔥 1/4顆', '雞高湯 15毫升', '蝦仁 300公克', '黃甜椒 1/2顆', '紅甜椒 1/2顆', '甜豆仁 80公克', '孜然風味料 5公克']","['小蝦仁去泥腸，劃開背部備用。', '洋蔥、紅、黃甜椒各切小丁。', ' 上述蔬菜下鍋和小蝦仁一起炒熱，加高湯甜豆        仁燜一下。', ' 見收汁後，放新疆孜然粉提味即可。 ']"
44,北海道湯咖哩,源自於北海道札幌的湯咖哩，湯頭清爽鮮甜，是一種可以用「喝」的咖哩！不同於日式咖哩的濃郁，而是清爽不膩口感，搭配蔬食或肉食都很適合，米飯拌著湯汁，大人小孩都喜歡。,"['馬鈴薯 1', '洋蔥 1顆', '雞蛋 1顆', '水 600毫升', '去骨雞腿 2隻', '紅甜椒 1/2顆', '蓮藕 4片', '紅蘿蔔 1/2根', '茄子 1/2條', '玉米筍 2根', '南瓜 8片', '橄欖油 15毫升', '咖哩塊 40-50公克', '咖哩粉 15公克', '玫瑰鹽 5公克', '鮮磨黑胡椒 5公克']","['取一平底鍋熱鍋後，放入一大匙橄欖油，把雞腿肉煎至表面呈金黃色即盛盤備用，不用全熟喲！這樣可以先鎖住肉汁。', '原鍋放入洋蔥和小磨坊印度咖哩粉一起炒香，喜歡辣一點口感的可以再多加些小磨坊印度咖哩粉。', '再加入馬鈴薯、紅蘿蔔和水，中大火煮滾後將髒沫撈除。', '再放入方才的雞腿一同烹煮。', '再加入咖哩塊，蓋上鍋蓋小火燜燉二十分鐘。', '加入茄子一起烹煮', '另起一平底鍋將其餘蔬菜煎熟備用。', '將慢燉入味後的雞腿和蔬菜及水煮蛋盛盤擺盤。']"
45,日式咖哩,日式咖哩口感香甜、溫和滑順並帶有淡淡果香，無強烈的辛味。,"['水 300毫升', '蒜頭 2瓣', '麵粉 10公克', '橄欖油 15毫升', '生薑 10公克', '蘋果 1顆', '全脂奶粉 4公克', '小番茄 2-3顆', '洋蔥 40公克', '咖哩塊 40-50公克', '蜂蜜 7-10公克', '咖哩粉 7公克']","['在鍋中加入橄欖油，將洋蔥炒至變色透明(過程約1分鐘) 。', '依序在鍋中加入生薑、大蒜、番茄、麵粉、咖哩塊(每樣食材下料的間距大約40-60秒) 。', '倒入300毫升的水一起拌煮。', '將配方中奶粉、奶油與1/2的水量溶勻(使用熱水溶解較易均勻) 。', '加入配方中的蘋果泥、咖啡粉、蜂蜜。', '將溶有奶粉、鮮奶油粉的液體分兩次加入。', '加入印度咖哩粉於鍋中烹煮，煮滾即完成。']"
46,芒果雞肉咖哩,酸酸甜甜的芒果與咖哩一起拌煮，能使咖哩的風味變得清爽，是夏天吃咖哩的新選擇。整體不會過分膩口，且芒果中的水果酵素對雞肉有軟化肉質的效果，吃起來軟嫩入味，讓人不小心又多吃了幾碗飯。,"['洋蔥 1/2顆', '蒜頭 1瓣', '雞高湯 125毫升', '去骨雞腿 300公克', '芒果 1/2顆', '白飯 1碗', '食用油 15毫升', '鹽 些許公克', '椰漿 125毫升', '調味咖哩粉 7公克', '特濃咖哩醬 30公克']","['取一有深度鍋子倒入沙拉油，待油燒熱後，放入蒜末和洋蔥碎炒香(約炒5分鐘)', '原鍋放入雞腿肉，翻炒至雞肉呈黃金色。', '加入小磨坊特濃咖哩醬炒勻。', '倒入高湯和小磨坊椰漿拌勻並煮滾，再轉小火約煮10分鐘。', '加入芒果泥拌勻，續煮2-3分鐘即可。(若有需要，可加入鹽調味)']"
47,椰汁西米露,懷舊甜湯組合：西米露+椰奶，冬天喝上一碗，暖暖的超療癒！椰奶加熱後香氣更加濃醇，晶透的西谷米浸潤其中，甜湯質地清爽可口，輕鬆享受無負擔。夏天冰著喝也超降火氣！,"['水 1000毫升', '西谷米 100公克', '冰糖 10公克', '椰奶 500毫升']","['食材準備', '取水1000ml，煮滾後加入西谷米，不停攪拌直至快煮透時熄火，蓋蓋悶5分鐘', '西谷米瀝掉水，以冷飲用水清洗黏液後放涼備用', '椰奶倒入鍋中，加入冰糖，小火加熱至冒煙即可關火，利用餘熱將糖融化', '食用時將熱椰奶加入西谷米中即可享用暖心熱飲！', '西谷米要在滾水時下鍋，冷水煮會融化在水中 煮好的西谷米盡量當日食用完畢，放置隔夜會吸水脹大，失去口感']"
48,鮮磨白胡椒鮪魚洋蔥,洋蔥冰鎮後，其辣味減低不似處理前辛嗆，且搭配白胡椒微辣清香的味型，不會過分突兀，且有效壓制鮪魚的味道，帶出清甜，是一道適合夏天食用的涼拌菜。,"['密封盒 1個', '洋蔥 1顆', '蒜頭 7瓣', '香菜 5公克', '香油 5毫升', '青蒜 1根', '鮪魚罐頭 1罐', '芹菜 1/2根', '玫瑰鹽 適量公克', '鮮磨白胡椒 適量公克']","['取一盆子，倒入鮪魚、洋蔥絲、蔥花、蒜末、香菜末、芹菜末並攪拌均勻。', '倒入香油微拌，再以小磨坊玫瑰鹽、小磨坊白胡椒調味即完成。', '上述食材裝盛至密封盒中，放入冰箱冷藏，食用時取出即可。']"
49,鹽烤鮭魚沙拉,鮭魚以玫瑰鹽去腥後，送入烤箱烘烤，可直接呈現鮭魚的原味，且品嘗起來相當清甜，再撒入黑胡椒拌勻食材，能為整道菜增香，且能壓制鮭魚油脂的膩口感，是道酸甜清爽的開胃前菜。,"['洋蔥 1/4顆', '冰水 1000毫升', '青花椰菜 50公克', '檸檬 1顆', '小番茄 8顆', '鮭魚 200公克', '黑糖 5-10公克', '砂糖 適量公克', '白醋 30毫升', '玫瑰鹽 適量公克', '鮮磨黑胡椒 適量公克']","['將鮭魚片兩面均勻灑上小磨坊玫瑰鹽後，送入烤箱烤8分鐘。', '把洋蔥和花椰菜的水份瀝乾後，將小蕃茄與洋蔥、花椰菜和橄欖油、白醋、小磨坊玫瑰鹽、糖、檸檬汁均勻混合成沙拉。', '起一鍋滾水，將花椰菜燙熟，放入冰水冷卻備用。', '鮭魚熟成取出後，把鮭魚片撥散備用。', '鮭魚碎與沙拉混合後灑上小磨坊鮮磨黑胡椒，拌勻即完成。']"
